date,vis_team,home_team,away_lineup,home_lineup
2025-03-31,DET,SEA,"['mallj001', 'carpk001', 'greer003', 'torks001', 'keitc001', 'mckiz001', 'dingd001', 'sweet001', 'baezj001']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'polaj001', 'ralel001', 'tellr001', 'blisr001', 'crawj002']"
2025-03-31,PIT,TBA,"['phamt001', 'reynb001', 'cruzo001', 'bartj003', 'suwij001', 'hayek001', 'rodre006', 'fraza001', 'kinei001']","['diazy001', 'loweb001', 'camij001', 'aranj001', 'morec001', 'misnk001', 'jansd001', 'mangj001', 'cabaj001']"
2025-03-31,WAS,TOR,"['abrac001', 'woodj004', 'ruizk001', 'lowen001', 'bellj005', 'garcl006', 'dejop001', 'crewd001', 'younj004']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'kirka001', 'sprig001', 'wagnw001', 'luken001', 'rodea001']"
2025-04-01,TEX,CIN,"['semim001', 'seagc001', 'langw001', 'pedej001', 'garca005', 'burgj001', 'smitj007', 'higak001', 'tavel001']","['friet001', 'mclam001', 'delae003', 'lux-g001', 'candj002', 'espis001', 'fralj001', 'dunnb001', 'wynna001']"
2025-04-01,ATL,LAN,"['harrm004', 'rilea001', 'olsom001', 'ozunm001', 'albio001', 'baldd001', 'delab001', 'kelej001', 'allen002']","['ohtas001', 'bettm001', 'edmat001', 'hernt002', 'smitw003', 'herne001', 'rojam002', 'pagea001', 'taylc001']"
2025-04-01,NYN,MIA,"['lindf001', 'sotoj001', 'alonp001', 'nimmb001', 'vienm001', 'winkj002', 'torrl001', 'acunl001', 'sirij001']","['edwax001', 'stowk001', 'lopeo001', 'mervm001', 'conig001', 'bridj001', 'paulg001', 'myerd001', 'fortn001']"
2025-04-01,KCA,MIL,"['indij001', 'wittb002', 'massm001', 'peres002', 'biggc002', 'renfh001', 'melem001', 'garcm003', 'isbek001']","['turab002', 'chouj001', 'yelic001', 'contw002', 'frels001', 'hoskr001', 'dunno001', 'ortij005', 'haase001']"
2025-04-01,CLE,SDN,"['kwans001', 'ramij003', 'manzk001', 'santc002', 'jonen002', 'naylb001', 'ariag002', 'schnd002', 'roccb001']","['tatif002', 'arral001', 'machm001', 'bogax001', 'merrj002', 'gurry001', 'iglej001', 'lockb001', 'diaze005']"
2025-04-01,ANA,SLN,"['wardt002', 'rengl001', 'troum001', 'solej001', 'moncy001', 'darnt001', 'schan001', 'adelj001', 'andet001']","['nootl001', 'burla001', 'donob001', 'arenn001', 'gormn001', 'walkj003', 'pagep001', 'scotv001', 'winnm001']"
2025-04-01,CHN,ATH,"['happi001', 'tuckk001', 'suzus001', 'buscm003', 'swand001', 'hoern001', 'crowp001', 'shawm002', 'amaym001']","['butll001', 'rookb001', 'bledj001', 'langs001', 'andum001', 'sodet001', 'urshg001', 'muncm002', 'wilsj006']"
2025-04-01,MIN,CHA,"['wallm001', 'corrc001', 'buxtb001', 'larnt001', 'jeffr002', 'frant002', 'castw003', 'julie001', 'miraj002']","['maton001', 'robel002', 'vauga001', 'benia002', 'vargm001', 'sosal001', 'baldb001', 'slata001', 'lee-k002']"
2025-04-01,SFN,HOU,"['wadel001', 'adamw002', 'lee-j001', 'chapm001', 'ramoh002', 'yastm001', 'florw001', 'bailp001', 'kossc001']","['altuj001', 'parei001', 'alvay001', 'walkc002', 'diazy004', 'penaj004', 'smitc010', 'rodgb002', 'mccoc001']"
2025-04-01,ARI,NYA,"['carrc005', 'martk001', 'smitp002', 'naylj001', 'suare001', 'moreg001', 'mccaj003', 'thoma004', 'perdg001']","['goldp001', 'bellc002', 'judga001', 'chisj001', 'volpa001', 'wella002', 'domij003', 'riceb001', 'cabro002']"
2025-04-01,DET,SEA,"['mckiz001', 'greer003', 'torks001', 'carpk001', 'keitc001', 'margm001', 'sweet001', 'rogej004', 'kreir001']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'ralel001', 'tellr001', 'blisr001', 'mastm001', 'crawj002']"
2025-04-01,PIT,TBA,"['suwij001', 'reynb001', 'cruzo001', 'bartj003', 'phamt001', 'valde002', 'hayek001', 'trioj001', 'kinei001']","['diazy001', 'loweb001', 'camij001', 'mangj001', 'meadc001', 'misnk001', 'jansd001', 'wallt003', 'deluj001']"
2025-04-01,WAS,TOR,"['abrac001', 'woodj004', 'ruizk001', 'lowen001', 'bellj005', 'garcl006', 'dejop001', 'calla002', 'younj004']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'kirka001', 'sprig001', 'wagnw001', 'cleme002', 'rodea001']"
2025-04-02,TEX,CIN,"['semim001', 'langw001', 'pedej001', 'garca005', 'burgj001', 'smitj007', 'heimj001', 'tavel001', 'durae002']","['friet001', 'mclam001', 'delae003', 'lux-g001', 'candj002', 'encac001', 'stees001', 'fralj001', 'trevj001']"
2025-04-02,ATL,LAN,"['albio001', 'ozunm001', 'rilea001', 'olsom001', 'delab001', 'allen002', 'fairs001', 'tromc001', 'white006']","['ohtas001', 'bettm001', 'hernt002', 'confm001', 'smitw003', 'edmat001', 'muncm001', 'herne001', 'pagea001']"
2025-04-02,NYN,MIA,"['lindf001', 'sotoj001', 'alonp001', 'nimmb001', 'winkj002', 'vienm001', 'batyb001', 'taylt002', 'sengh001']","['edwax001', 'stowk001', 'conig001', 'mervm001', 'lopeo001', 'paulg001', 'hickl001', 'wagae001', 'sanoj001']"
2025-04-02,KCA,MIL,"['indij001', 'wittb002', 'pasqv001', 'peres002', 'massm001', 'renfh001', 'biggc002', 'fermf002', 'isbek001']","['turab002', 'chouj001', 'colli001', 'contw002', 'frels001', 'hoskr001', 'caprv001', 'mitcg001', 'ortij005']"
